"71" "St Hubert" "Montreal" "Canada" "YHU" "cyhu" "45.5175" -73.416944 90 "-5" "A" "America/Toronto"
"72" "Hay River" "Hay River" "Canada" "YHY" "cyhy" "60.839722" -115.782778 543 "-7" "A" "America/Edmonton"
"73" "Halifax Intl" "Halifax" "Canada" "YHZ" "cyhz" "44.880833" -63.50861 477 "-4" "A" "America/Halifax"
"74" "Atikokan Muni" "Atikokan" "Canada" "YIB" "cyib" "48.773888" -91.638611 1408 "-5" "A" "America/Coral_Harbour"
"75" "Pond Inlet" "Pond Inlet" "Canada" "YIO" "cyio" "72.683334" -77.966667 181 "-5" "A" "America/Toronto"
"76" "St Jean" "St. Jean" "Canada" "YJN" "cyjn" "45.294445" -73.281111 136 "-5" "A" "America/Toronto"
"77" "Stephenville" "Stephenville" "Canada" "YJT" "cyjt" "48.544167" -58.549999 80 "-3.5" "A" "America/St_Johns"
"78" "Kamloops" "Kamloops" "Canada" "YKA" "cyka" "50.702222" -120.444444 1133 "-8" "A" "America/Vancouver"
"79" "Waterloo" "Waterloo" "Canada" "YKF" "cykf" "43.460833" -80.378611 1054 "-5" "A" "America/Toronto"
"80" "Schefferville" "Schefferville" "Canada" "YKL" "cykl" "54.805278" -66.805278 1709 "-5" "A" "America/Toronto"
"81" "Kindersley" "Kindersley" "Canada" "YKY" "cyky" "51.5175" -109.180833 2277 "-6" "N" "America/Regina"
"82" "Buttonville Muni" "Toronto" "Canada" "YKZ" "cykz" "43.862221" -79.37 650 "-5" "A" "America/Toronto"
"83" "Chapleau" "Chapleau" "Canada" "YLD" "cyld" "47.82" -83.346667 1470 "-5" "A" "America/Toronto"
"84" "Meadow Lake" "Meadow Lake" "Canada" "YLJ" "cylj" "54.125278" -108.522778 1576 "-6" "N" "America/Regina"
"85" "Lloydminster" "Lloydminster" "Canada" "YLL" "cyll" "53.309166" -110.0725 2193 "-7" "A" "America/Edmonton"
"86" "Alert" "Alert" "Canada" "YLT" "cylt" "82.517778" -62.280556 100 "-5" "A" "America/Toronto"
"87" "Kelowna" "Kelowna" "Canada" "YLW" "cylw" "49.956112" -119.377778 1409 "-8" "A" "America/Vancouver"
"88" "Mayo" "Mayo" "Canada" "YMA" "cyma" "63.616389" -135.868333 1653 "-8" "A" "America/Vancouver"
"89" "Moose Jaw Air Vice Marshal C M Mcewen" "Moose Jaw" "Canada" "YMJ" "cymj" "50.330278" -105.559167 1892 "-6" "N" "America/Regina"
"90" "Fort Mcmurray" "Fort Mcmurray" "Canada" "YMM" "cymm" "56.653333" -111.221944 1211 "-7" "A" "America/Edmonton"
"91" "Moosonee" "Moosonee" "Canada" "YMO" "cymo" "51.291111" -80.607778 30 "-5" "A" "America/Toronto"
"92" "Maniwaki" "Maniwaki" "Canada" "YMW" "cymw" "46.272778" -75.990556 656 "-5" "A" "America/Toronto"
"93" "Montreal Intl Mirabel" "Montreal" "Canada" "YMX" "cymx" "45.681944" -74.005278 270 "-5" "A" "America/Toronto"
"94" "Natashquan" "Natashquan" "Canada" "YNA" "cyna" "50.19" -61.789167 39 "-5" "A" "America/Toronto"
"95" "Gatineau" "Gatineau" "Canada" "YND" "cynd" "45.521694" -75.563589 211 "-5" "A" "America/Toronto"
"96" "Matagami" "Matagami" "Canada" "YNM" "cynm" "49.761667" -77.802778 918 "-5" "A" "America/Toronto"
"97" "Old Crow" "Old Crow" "Canada" "YOC" "cyoc" "67.570556" -139.839167 824 "-8" "A" "America/Vancouver"
"98" "Cold Lake" "Cold Lake" "Canada" "YOD" "cyod" "54.404999" -110.279444 1775 "-7" "A" "America/Edmonton"
"99" "High Level" "High Level" "Canada" "YOJ" "cyoj" "58.621389" -117.164722 1110 "-7" "A" "America/Edmonton"
"100" "Ottawa Macdonald Cartier Intl" "Ottawa" "Canada" "YOW" "cyow" "45.3225" -75.669167 374 "-5" "A" "America/Toronto"
"101" "Prince Albert Glass Field" "Prince Albert" "Canada" "YPA" "cypa" "53.214167" -105.672778 1405 "-6" "N" "America/Regina"
"102" "Peace River" "Peace River" "Canada" "YPE" "cype" "56.226944" -117.447222 1873 "-7" "A" "America/Edmonton"
"103" "Southport" "Portage-la-prairie" "Canada" "YPG" "cypg" "49.903056" -98.273889 885 "-6" "A" "America/Winnipeg"
"104" "Pitt Meadows" "Pitt Meadows" "Canada" "" "cypk" "49.21611" -122.71 11 "-8" "A" "America/Vancouver"
"105" "Pickle Lake" "Pickle Lake" "Canada" "YPL" "cypl" "51.446388" -90.214167 1267 "-5" "A" "America/Coral_Harbour"
"106" "Port Menier" "Port Menier" "Canada" "YPN" "cypn" "49.836389" -64.288611 167 "-5" "A" "America/Toronto"
"107" "Peterborough" "Peterborough" "Canada" "YPQ" "cypq" "44.23" -78.363333 628 "-5" "A" "America/Toronto"
"108" "Prince Rupert" "Prince Pupert" "Canada" "YPR" "cypr" "54.28611" -130.444722 116 "-8" "A" "America/Vancouver"
"109" "Fort Chipewyan" "Fort Chipewyan" "Canada" "YPY" "cypy" "58.767223" -111.117222 761 "-7" "A" "America/Edmonton"
"110" "Muskoka" "Muskoka" "Canada" "YQA" "cyqa" "44.974722" -79.303333 925 "-5" "A" "America/Toronto"
