"St. Pierre and Miquelon" "46.8374544" "-56.2120554"
"Pitcairn" "-25.0657718" "-130.1017822"
"Puerto Rico" "18.2017809" "-66.5841245"
"Palestine, State of" "35.39946" "-80.1729989"
"Portugal" "40.033265" "-7.8896262"
"Palau" "6.097367" "133.313631"
"Paraguay" "-23.3165934" "-58.1693444"
"Qatar" "25.3336984" "51.2295295"
"Romania" "45.9852129" "24.6859225"
"Serbia" "44.1534121" "20.55144"
"Russian Federation" "64.6863136" "97.7453061"
"Rwanda" "-1.964663" "30.0644358"
"Saudi Arabia" "25.6242618" "42.3528328"
"Solomon Islands" "-9.7354343" "162.8288542"
"Seychelles" "-4.6574976" "55.4540146"
"Sudan" "15.79125" "30.3714240785933"
"Sweden" "59.6749712" "14.5208584"
"Singapore" "1.2904527" "103.852038"
"Saint Helena" "-15.991955" "-5.6999093"
"Slovenia" "45.8133113" "14.4808369"
"Svalbard and Jan Mayen Islands" "78.616667" "20.166667"
"Slovakia" "48.7411522" "19.4528646"
"Sierra Leone" "8.6400349" "-11.8400268"
"San Marino" "43.9458623" "12.458306"
"Senegal" "14.4750607" "-14.4529611"
"Somalia" "8.3676771" "49.083416"
"Suriname" "4.1413025" "-56.0771186"
"South Sudan" "7.8699431" "29.6667897"
"Sao Tome and Principe" "0.8875498" "6.9648718"
"El Salvador" "13.8000382" "-88.9140682"
"Sint Maarten (Dutch part)" "17.9345" "-63.1539329807882"
"Syria" "34.6401861" "39.0494106"
"Swaziland" "-26.5624805" "31.3991317"
"Turks and Caicos Islands" "21.7214683" "-71.6201782"
"Chad" "15.6134137" "19.0156172"
"French Southern Territories" "-44.1511784" "63.8604556"
"Togo" "8.7800265" "1.0199765"
"Thailand" "14.8971921" "100.83273"
"Tajikistan" "38.6281733" "70.8156541"
"Tokelau" "-9.1676395" "-171.8196877"
"Timor-Leste" "-8.5151978" "125.8375756"
"Turkmenistan" "39.3763807" "59.3924609"
"Tunisia" "33.8439408" "9.400138"
